culture,Sample_ID,stack,Treatment,tube ,pigment,avg_mean
HE112_PL,HE112_PL_3,Stack3,E,11,86,268.6447938
HE112_PL,HE112_PL_3,Stack4,E,11,67,315.2619267
HE112_PL,HE112_PL_3,Stack5,E,11,74,279.2888977
HE112_PL,HE112_PL_3,Stack6,E,11,90,297.4445008
HE112_PL,HE112_PL_3,Stack7,E,11,70,288.0928023
HE112_PL,HE112_PL_3,Stack8,E,11,63,282.8922752
HE112_PL,HE112_PL_3,Stack9,E,11,72,270.79509
HE112_PL,HE112_PL_3,Stack10,E,11,59,299.8482568
HE121_PL,HE121_PL_2,Stack1,E,12,84,248.5488429
HE121_PL,HE121_PL_2,Stack2,E,12,73,252.7805714
HE121_PL,HE121_PL_2,Stack3,E,12,51,224.0373769
HE121_PL,HE121_PL_2,Stack4,E,12,73,225.6886436
HE121_PL,HE121_PL_2,Stack5,E,12,67,248.3760365
HE121_PL,HE121_PL_2,Stack6,E,12,81,260.0006826
HE121_PL,HE121_PL_3,Stack1,E,12,55,222.019591
HE121_PL,HE121_PL_3,Stack2,E,12,70,246.4169604
HE121_PL,HE121_PL_3,Stack3,E,12,60,270.6164527
HE121_PL,HE121_PL_3,Stack4,E,12,64,265.2991399
HE121_PL,HE121_PL_3,Stack5,E,12,68,245.8518491
HE121_PL,HE121_PL_3,Stack6,E,12,58,234.1157192
HE121_PL,HE121_PL_3,Stack7,E,12,52,250.1980381
HE121_PL,HE121_PL_3,Stack8,E,12,61,263.2771937
HE121_PL,HE121_PL_3,Stack9,E,12,81,252.2258975
HE121_PL,HE121_PL_3,Stack10,E,12,66,238.3909625
HE122_PL,HE122_PL_1,Stack1,E,12,81,300.2341695
HE122_PL,HE122_PL_1,Stack2,E,12,73,280.3799789
HE122_PL,HE122_PL_1,Stack3,E,12,76,262.9924243
HE122_PL,HE122_PL_1,Stack4,E,12,62,243.6520445
HE122_PL,HE122_PL_1,Stack5,E,12,78,298.5170861
HE122_PL,HE122_PL_1,Stack6,E,12,70,257.4930286
HE122_PL,HE122_PL_1,Stack7,E,12,54,267.8167679
HE122_PL,HE122_PL_1,Stack8,E,12,74,279.1571163
HE122_PL,HE122_PL_1,Stack9,E,12,58,245.7030921
HE122_PL,HE122_PL_1,Stack10,E,12,71,241.8180765
HE122_PL,HE122_PL_3,Stack1,E,12,66,240.3745493
HE122_PL,HE122_PL_3,Stack2,E,12,75,276.414815
HE122_PL,HE122_PL_3,Stack3,E,12,96,274.0892417
HE122_PL,HE122_PL_3,Stack4,E,12,66,241.2299474
HE122_PL,HE122_PL_3,Stack5,E,12,73,287.1519651
HE122_PL,HE122_PL_3,Stack6,E,12,62,268.4207095
HE122_PL,HE122_PL_3,Stack7,E,12,111,290.1581842
HE122_PL,HE122_PL_3,Stack8,E,12,71,275.929839
HE122_PL,HE122_PL_3,Stack9,E,12,70,293.4214309
HE122_PL,HE122_PL_3,Stack10,E,12,69,287.3331256
HE231_PL,HE231_PL_1,Stack1,E,23,44,253.9787603
HE231_PL,HE231_PL_1,Stack2,E,23,51,233.7678392
HE231_PL,HE231_PL_1,Stack3,E,23,47,255.8937839
HE231_PL,HE231_PL_1,Stack4,E,23,57,272.1063363
HE231_PL,HE231_PL_1,Stack5,E,23,47,215.3225977
HE231_PL,HE231_PL_1,Stack6,E,23,45,239.2083683
HE231_PL,HE231_PL_1,Stack7,E,23,48,254.6753795
HE231_PL,HE231_PL_1,Stack8,E,23,50,278.3687861
HE231_PL,HE231_PL_1,Stack9,E,23,43,267.9332734
HE231_PL,HE231_PL_1,Stack10,E,23,51,258.8448872
HE231_PL,HE231_PL_2,Stack1,E,23,49,254.0644963
HE231_PL,HE231_PL_2,Stack2,E,23,54,245.2530304
HE231_PL,HE231_PL_2,Stack3,E,23,55,248.7032067
HE231_PL,HE231_PL_2,Stack4,E,23,48,257.1151303
HE231_PL,HE231_PL_2,Stack5,E,23,65,244.2454668
HE231_PL,HE231_PL_2,Stack6,E,23,57,281.3488995
HE231_PL,HE231_PL_2,Stack7,E,23,54,263.6969592
HE231_PL,HE231_PL_2,Stack8,E,23,52,340.7920024
HE231_PL,HE231_PL_2,Stack9,E,23,58,272.0878876
HE231_PL,HE231_PL_2,Stack10,E,23,60,226.0599858
HE231_PL,HE231_PL_3,Stack1,E,23,44,254.9411686
HE231_PL,HE231_PL_3,Stack2,E,23,49,256.9972679
HE231_PL,HE231_PL_3,Stack3,E,23,59,269.4257253
HE231_PL,HE231_PL_3,Stack4,E,23,58,243.4421034
HE231_PL,HE231_PL_3,Stack5,E,23,47,250.9025419
HE231_PL,HE231_PL_3,Stack6,E,23,50,254.5887108
HE231_PL,HE231_PL_3,Stack7,E,23,53,255.7079102
HE231_PL,HE231_PL_3,Stack8,E,23,49,227.323117
HE231_PL,HE231_PL_3,Stack9,E,23,48,254.1939681
HE231_PL,HE231_PL_3,Stack10,E,23,41,253.5258652
HE232_PL,HE232_PL_1,Stack1,E,23,60,296.9862379
HE232_PL,HE232_PL_1,Stack2,E,23,63,308.4178047
HE232_PL,HE232_PL_1,Stack3,E,23,55,326.4224052
HE232_PL,HE232_PL_1,Stack4,E,23,45,310.3987523
HE232_PL,HE232_PL_1,Stack5,E,23,51,322.6444841
HE232_PL,HE232_PL_1,Stack6,E,23,71,330.687219
HE232_PL,HE232_PL_1,Stack7,E,23,64,314.8092144
HE232_PL,HE232_PL_1,Stack8,E,23,47,331.0849815
HE232_PL,HE232_PL_1,Stack9,E,23,70,342.0262215
HE232_PL,HE232_PL_1,Stack10,E,23,58,325.3460831
HE232_PL,HE232_PL_2,Stack1,E,23,63,328.643767
HE232_PL,HE232_PL_2,Stack2,E,23,49,322.5931625
HE232_PL,HE232_PL_2,Stack3,E,23,64,286.7588209
HE232_PL,HE232_PL_2,Stack4,E,23,44,307.9596288
HE232_PL,HE232_PL_2,Stack5,E,23,55,294.9588083
HE232_PL,HE232_PL_2,Stack6,E,23,60,353.4521415
HE232_PL,HE232_PL_2,Stack7,E,23,42,310.2732648
HE232_PL,HE232_PL_2,Stack8,E,23,55,293.8308959
HE232_PL,HE232_PL_2,Stack9,E,23,58,316.2597563
HE232_PL,HE232_PL_2,Stack10,E,23,61,296.0997756
HE232_PL,HE232_PL_3,Stack1,E,23,62,289.0976558
HE232_PL,HE232_PL_3,Stack2,E,23,55,309.2250524
HE232_PL,HE232_PL_3,Stack3,E,23,54,300.8805461
HE232_PL,HE232_PL_3,Stack4,E,23,62,354.853283
HE232_PL,HE232_PL_3,Stack5,E,23,59,297.8543468
HE232_PL,HE232_PL_3,Stack6,E,23,53,287.0620464
HE232_PL,HE232_PL_3,Stack7,E,23,52,324.9860097
HE232_PL,HE232_PL_3,Stack8,E,23,57,334.4990069
HE232_PL,HE232_PL_3,Stack9,E,23,62,327.2469609
HE232_PL,HE232_PL_3,Stack10,E,23,53,284.0702205
HE332_PL,HE332_PL_1,Stack1,E,33,48,283.7747355
HE332_PL,HE332_PL_1,Stack2,E,33,63,298.4856362
HE332_PL,HE332_PL_1,Stack3,E,33,43,273.7050696
HE332_PL,HE332_PL_1,Stack4,E,33,42,249.0652496
HE332_PL,HE332_PL_1,Stack5,E,33,43,295.854282
HE332_PL,HE332_PL_1,Stack6,E,33,44,275.7471921
HE332_PL,HE332_PL_1,Stack7,E,33,55,301.4113624
HE332_PL,HE332_PL_1,Stack8,E,33,43,301.3167481
HE332_PL,HE332_PL_1,Stack9,E,33,57,316.1865318
HE332_PL,HE332_PL_1,Stack10,E,33,35,298.2458882
HE332_PL,HE332_PL_2,Stack1,E,33,48,296.9457867
HE332_PL,HE332_PL_2,Stack2,E,33,50,288.2036014
HE332_PL,HE332_PL_2,Stack3,E,33,45,279.7229239
HE332_PL,HE332_PL_2,Stack4,E,33,42,270.4304911
HE332_PL,HE332_PL_2,Stack5,E,33,52,253.6885058
HE332_PL,HE332_PL_2,Stack6,E,33,51,324.0167429
HE332_PL,HE332_PL_2,Stack7,E,33,52,308.3047852
HE332_PL,HE332_PL_2,Stack8,E,33,47,296.212532
HE332_PL,HE332_PL_2,Stack9,E,33,42,284.3932597
HE332_PL,HE332_PL_2,Stack10,E,33,46,318.0357299
HE332_PL,HE332_PL_3,Stack1,E,33,42,255.8096294
HE332_PL,HE332_PL_3,Stack2,E,33,62,277.2314244
HE332_PL,HE332_PL_3,Stack3,E,33,59,289.2596159
HE332_PL,HE332_PL_3,Stack4,E,33,80,314.023046
HE332_PL,HE332_PL_3,Stack5,E,33,61,300.0779513
HE332_PL,HE332_PL_3,Stack6,E,33,58,284.6516103
HE332_PL,HE332_PL_3,Stack7,E,33,54,278.8529364
HE332_PL,HE332_PL_3,Stack8,E,33,41,289.6300931
HE332_PL,HE332_PL_3,Stack10,E,33,51,293.0666344
HE332_PL,HE332_PL_3,Stack11,E,33,54,295.4736041
